team,name,Min,Red,2ndYellow,Yellow,Fls,display
FC Edmonton,Terique Mohammed,304,1,0,1,9,Terique Mohammed
Valour FC,Federico Peña,327,1,0,0,4,Federico Peña
HFX Wanderers FC,João Morelli Neto,561,1,0,0,13,João Morelli
FC Edmonton,Tomi Ameobi,287,0,0,2,8,Tomi Ameobi
Forge FC,Jonathan Grant,274,0,0,2,15,Jonathan Grant
Valour FC,Moses Dyer,272,0,0,0,10,Moses Dyer
FC Edmonton,Antony Caceres,248,0,0,0,4,Anthony Caceres
Valour FC,Austin Ricci,365,0,0,3,9,Austin Ricci
Forge FC,Marcel Dominik Zajac,237,0,0,2,6,Marcel Dominik Zajac
FC Edmonton,Marcus Velado-Tsegaye,230,0,0,0,3,Marcus Velado-Tsegaye
FC Edmonton,Chance Carter,203,0,0,0,6,Chance Carter
Pacific FC,Noah Verhoeven,173,0,0,0,2,Noah Verhoeven
HFX Wanderers FC,Jason Beaulieu,360,0,0,1,2,Jason Beaulieu
FC Edmonton,Duran Lee,122,0,0,1,1,Duran Lee
HFX Wanderers FC,Daniel Kinumbe,208,0,0,0,1,Daniel Kinumbe
York9 FC,Álvaro Rivero Sánchez,359,0,0,0,5,Álvaro Rivero
Pacific FC,Josh Heard,218,0,0,1,8,Josh Heard
Forge FC,Montther Mohsen,208,0,0,0,0,Montther Mohsen
FC Edmonton,Prince Amanda,145,0,0,0,1,Prince Amanda
Atlético Ottawa,Gianfranco Facchineri,206,0,0,0,5,Gianfranco Facchineri
Forge FC,Christopher Lenroy Nanco,224,0,0,0,7,Christopher Lenroy Nanco
Atlético Ottawa,Vashon Neufville,241,0,1,1,9,Vashon Neufville
Forge FC,Kadell Thomas,283,0,0,1,11,Kadell Thomas
Cavalry FC,Jordan Brown,657,0,0,0,12,Jordan Brown
HFX Wanderers FC,Alex De Carolis,371,0,0,1,6,Alex De Carolis
HFX Wanderers FC,Alessandro Riggi,471,0,0,0,7,Alessandro Riggi
FC Edmonton,Hanson Boakai,309,0,0,0,5,Hanson Boakai
Cavalry FC,Marcus Haber,507,0,0,1,17,Marcus Haber
